Auftragskonto;Buchungstag;Valutadatum;Buchungstext;Verwendungszweck;Beguenstigter/Zahlungspflichtiger;Kontonummer;BLZ;Betrag;Waehrung;Info
DE03261272449446690264;02.06.25;02.06.25;FOLGELASTSCHRIFT;EREF+AjFYnyN4WXWexxM;FitX Deutschland GmbH;DE39105776224207595851;EFBKCS4STHX;-24;EUR;Umsatz gebucht
DE03261272449446690264;02.05.25;02.05.25;FOLGELASTSCHRIFT;EREF+ESwNhCiTuJvG9m9;FitX Deutschland GmbH;DE78671634037204156006;TWQGEM2NBUE;-24;EUR;Umsatz gebucht
DE03261272449446690264;01.04.25;01.04.25;FOLGELASTSCHRIFT;EREF+RPoNdUJrerfQASp;FitX Deutschland GmbH;DE76691447204811168642;ZZRBYP1UPDR;-24;EUR;Umsatz gebucht
DE03261272449446690264;30.05.25;29.05.25;BARGELDAUSZAHLUNG;29.05nbe7vNeXOBnkXhy;GA NR05138459 BLZ49584150 0;DE99061905316691267497;LCNRFLP1QUV;-200;EUR;Umsatz gebucht
DE03261272449446690264;08.05.25;08.05.25;BARGELDAUSZAHLUNG;08.05TsmAvvt9SJPNCUk;GA NR05138459 BLZ49584150 0;DE97734735077330528404;LCNRFLP1QUV;-50;EUR;Umsatz gebucht
DE03261272449446690264;08.05.25;08.05.25;BARGELDAUSZAHLUNG;08.05y5mDooP0Xc41hpu;GA NR05138459 BLZ49584150 0;DE62613154129737024716;LCNRFLP1QUV;-75;EUR;Umsatz gebucht
DE03261272449446690264;06.05.25;06.05.25;ONLINE-UEBERWEISUNG;SVWZ+LvKQ9L7SbfCmqmT;KFZ Workshop;DE86839029711642595400;NUHMXTB3TUA;-440,09;EUR;Umsatz gebucht
DE03261272449446690264;24.04.25;24.04.25;KARTENZAHLUNG;SVWZ+5erCPYUYMCb9MeP;KFZ Workshop;DE85773693792441097511;RWKCCVO1QHF;-26;EUR;Umsatz gebucht
DE03261272449446690264;07.04.25;07.04.25;KARTENZAHLUNG;SVWZ+6LDiCVINA2VmEh7;KFZ Workshop;DE89471623672116027257;IJHRNPY7FAI;-345,22;EUR;Umsatz gebucht
DE03261272449446690264;07.04.25;07.04.25;KARTENZAHLUNG;SVWZ+cejXa5uHYHnFmQe;KFZ Workshop;DE36986805017704512383;JOIQQKSGQBJ;-17,9;EUR;Umsatz gebucht
DE03261272449446690264;23.06.25;23.06.25;KARTENZAHLUNG;SVWZ+2g4UKZEV8fK722i;KFZ Workshop;DE28709269653612870913;VUMMJKOV;-13,5;EUR;Umsatz gebucht
DE03261272449446690264;23.06.25;23.06.25;KARTENZAHLUNG;SVWZ+sj1hEmDT5bvJAYq;KFZ Workshop;DE89257738616003754257;GOUMCYNO;-5,9;EUR;Umsatz gebucht
DE03261272449446690264;16.05.25;16.05.25;KARTENZAHLUNG;SVWZ+jE7Hw19xuvp3ufo;LIDL SAGT DANKE;DE28276713278838269839;LTYHGPJLWXF;-7,2;EUR;Umsatz gebucht
DE03261272449446690264;12.05.25;12.05.25;KARTENZAHLUNG;SVWZ+THmahjVc1NPTQ76;LIDL SAGT DANKE;DE52204220737076986482;SFMDXFNFDSH;-22,37;EUR;Umsatz gebucht
DE03261272449446690264;07.05.25;07.05.25;KARTENZAHLUNG;SVWZ+wKuZfufoc9yIQ1I;LIDL SAGT DANKE;DE81924298202922819367;XEZJAJBTEAL;-88,12;EUR;Umsatz gebucht
DE03261272449446690264;25.04.25;25.04.25;KARTENZAHLUNG;SVWZ+GhftAuCVTP3I9dW;LIDL SAGT DANKE;DE96302199467363890687;ZDTXJGRRWCT;-4,27;EUR;Umsatz gebucht
DE03261272449446690264;09.04.25;09.04.25;KARTENZAHLUNG;SVWZ+pEsgrqDnwYMbmIv;LIDL SAGT DANKE;DE14799632074904934739;LWTJAYIFTNY;-79,42;EUR;Umsatz gebucht
DE03261272449446690264;07.04.25;07.04.25;KARTENZAHLUNG;SVWZ+EkJXboN19tSbEWY;Johnny Smith R;DE54109545982381891481;TVCZZWST786;-66,1;EUR;Umsatz gebucht
DE03261272449446690264;10.06.25;09.06.25;KARTENZAHLUNG;SVWZ+olM6kiOQNZUnytR;Netto Marken-Discoun;DE38970932898547507542;RNHEWLKZ376;-50,06;EUR;Umsatz gebucht
DE03261272449446690264;03.06.25;03.06.25;KARTENZAHLUNG;SVWZ+qeSHDvikkehmzs4;Netto Marken-Discoun;DE58630720843782492659;IKQDUFXI140;-35,96;EUR;Umsatz gebucht
DE03261272449446690264;08.05.25;08.05.25;KARTENZAHLUNG;SVWZ+PBeTxPdiDynfdIq;Netto Marken-Discoun;DE70080899318415545837;HCZUGZFJ779;-11,49;EUR;Umsatz gebucht
DE03261272449446690264;24.06.25;24.06.25;FOLGELASTSCHRIFT;EREF+zlnCZZiBNNCz2ul;PayPal Europe S.a.r.l. et Cie S.C.A;LU86065727863485552E;KXXIZBX5;-41,48;EUR;Umsatz gebucht
DE03261272449446690264;17.06.25;17.06.25;FOLGELASTSCHRIFT;EREF+zDw0bQiwO2TAm0i;PayPal Europe S.a.r.l. et Cie S.C.A;LU63098402554040959E;QWWKKXO3;-14,99;EUR;Umsatz gebucht
DE03261272449446690264;13.06.25;13.06.25;FOLGELASTSCHRIFT;EREF+Rt9Ik1Y55wxmzyb;PayPal Europe S.a.r.l. et Cie S.C.A;LU60787293709578137E;JZVOHOR0;-46;EUR;Umsatz gebucht
DE03261272449446690264;05.05.25;05.05.25;FOLGELASTSCHRIFT;EREF+2bHWpNijU6Pimr5;PayPal Europe S.a.r.l. et Cie S.C.A;LU42154201220665268E;LQXEPBY8;-30,8;EUR;Umsatz gebucht
DE03261272449446690264;29.04.25;29.04.25;FOLGELASTSCHRIFT;EREF+ZZYSWDCZGYB6dmv;PayPal Europe S.a.r.l. et Cie S.C.A;LU24380637190956374E;IEQMQBO4;-55;EUR;Umsatz gebucht
DE03261272449446690264;24.04.25;24.04.25;FOLGELASTSCHRIFT;EREF+4ADFUbw09RGFlL5;PayPal Europe S.a.r.l. et Cie S.C.A;LU07413331432337464E;YFQPJFZ9;-31,09;EUR;Umsatz gebucht
DE03261272449446690264;22.04.25;22.04.25;FOLGELASTSCHRIFT;EREF+brrNZr7kLiuXo6K;PayPal Europe S.a.r.l. et Cie S.C.A;LU45993523518973872E;RVFHNJU4;-61,59;EUR;Umsatz gebucht
DE03261272449446690264;16.04.25;16.04.25;FOLGELASTSCHRIFT;EREF+rwdmUbuvJaEU1Da;PayPal Europe S.a.r.l. et Cie S.C.A;LU91207146496156182E;AZUSBCY6;-14,99;EUR;Umsatz gebucht
DE03261272449446690264;15.04.25;15.04.25;FOLGELASTSCHRIFT;EREF+NPPbjbB0af1YXN4;PayPal Europe S.a.r.l. et Cie S.C.A;LU07637024236483646E;ONLISED8;-26,66;EUR;Umsatz gebucht
DE03261272449446690264;15.04.25;15.04.25;FOLGELASTSCHRIFT;EREF+fKgbgrVEmK2xAlo;PayPal Europe S.a.r.l. et Cie S.C.A;LU31639599579293511E;ERWPESZ8;-44,98;EUR;Umsatz gebucht
DE03261272449446690264;01.04.25;01.04.25;FOLGELASTSCHRIFT;EREF+QB9IWOKSoKVJuDs;PayPal Europe S.a.r.l. et Cie S.C.A;LU44888436414191430E;CKVZIFF8;-32,95;EUR;Umsatz gebucht
DE03261272449446690264;17.06.25;17.06.25;KARTENZAHLUNG;SVWZ+HIayaw7hpZvQ53f;Penny Nurnberg;DE96067251590649078995;XSNNWADG;-47,53;EUR;Umsatz gebucht
DE03261272449446690264;13.06.25;13.06.25;KARTENZAHLUNG;SVWZ+mJfmQh1zskgTE0v;Penny Nurnberg;DE32574818110323503553;ZLOBNOWY;-35,61;EUR;Umsatz gebucht
DE03261272449446690264;16.04.25;16.04.25;KARTENZAHLUNG;SVWZ+TgCaLO58wiiQHDz;REWE Markt GmbH;DE62942543835943156159;VZDONBLXNSE;-20,98;EUR;Umsatz gebucht
DE03261272449446690264;06.05.25;06.05.25;KARTENZAHLUNG;SVWZ+j0moFGClty0CRIb;ROSEN APOTHEKE;DE01388171062512485556;XXOLBKP4YGX;-23,49;EUR;Umsatz gebucht
DE03261272449446690264;15.05.25;15.05.25;FOLGELASTSCHRIFT;EREF+DPI8MM97YUUB6lR;Rundfunk ARD, ZDF, DRadio;DE18434363011428352974;QUKKBAFGMMN;-55,08;EUR;Umsatz gebucht
DE03261272449446690264;12.05.25;12.05.25;ONLINE-UEBERWEISUNG;SVWZ+iwPZJCLZJ6UWzte;Stadt Recklinghausen;DE62643035241263918408;RSBTSND2PHD;-263,26;EUR;Umsatz gebucht
DE03261272449446690264;22.04.25;22.04.25;KARTENZAHLUNG;SVWZ+1rhoeUKLIpZ6B59;Tankstelle;DE30059008334354851339;TMDAKYDHPNJ;-9,39;EUR;Umsatz gebucht
DE03261272449446690264;18.06.25;18.06.25;FOLGELASTSCHRIFT;EREF+JlVOcuvyg69UhAm;Telekom Deutschland GmbH;DE42389212180668926966;FZDHXPHIYND;-47,54;EUR;Umsatz gebucht
DE03261272449446690264;19.05.25;19.05.25;FOLGELASTSCHRIFT;EREF+eVrLswfZwGYbAfT;Telekom Deutschland GmbH;DE63129601036149158225;DGJHYCOFAYD;-47,54;EUR;Umsatz gebucht
DE03261272449446690264;16.04.25;16.04.25;FOLGELASTSCHRIFT;EREF+HcbmRWU9Eguwx5H;Telekom Deutschland GmbH;DE03725801533934345499;NZIUTEXEYAH;-47,54;EUR;Umsatz gebucht
DE03261272449446690264;09.05.25;09.05.25;KARTENZAHLUNG;SVWZ+dfp1cM9hTlWSOrC;Triebe Einzelhande;DE24451386587484994413;SWWXWIDTIRL;-70,65;EUR;Umsatz gebucht
DE03261272449446690264;24.04.25;24.04.25;KARTENZAHLUNG;SVWZ+IS1VzQihFsVWSIr;Triebe Einzelhande;DE90060537888004219488;CILGDAMVTSG;-36,64;EUR;Umsatz gebucht
DE03261272449446690264;22.04.25;22.04.25;KARTENZAHLUNG;SVWZ+ILQYHD4WZoEyLaT;Wandklettern GmbH;DE85583128520171745821;BBRRYPT2HCR;-7;EUR;Umsatz gebucht
DE03261272449446690264;04.06.25;04.06.25;ECHTZEIT-UEBERWEISUNG;EREF+Money I owed you;My sister;LT722370502295864765;GOONCQ36BPQ;-50;EUR;Umsatz gebucht
DE03261272449446690264;05.06.25;05.06.25;KARTENZAHLUNG;SVWZ+5iRgmt0XqyjTkM5;Worldline Sweden AB fuer SB Tank;DE96922591745904837112;HNGZGSYJ;-71,6;EUR;Umsatz gebucht
DE03261272449446690264;10.06.25;09.06.25;KARTENZAHLUNG;SVWZ+mKCuFRCPAONxiX1;Zahnartz GE RECKLINGHA;DE68079652066547300336;JBGPGXZY;-101,36;EUR;Umsatz gebucht
DE03261272449446690264;08.04.25;08.04.25;KARTENZAHLUNG;SVWZ+JaNqpalnYRmV4uk;Zoo Dortmund;DE72292251796369281035;BJXOISG0UPR;-22;EUR;Umsatz gebucht
